metric,count
opcode,10
total instruction count,4490752
workitems,1568
operand sum,4.49075e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.2268e-07
barriers per instruction,2.2268e-07
instructions per operand,1
total memory footprint,12680
90% memory footprint,9912
global memory address entropy,12.6983
local memory address entropy -- 1 LSBs skipped,12.6986
local memory address entropy -- 2 LSBs skipped,12.6986
local memory address entropy -- 3 LSBs skipped,11.715
local memory address entropy -- 4 LSBs skipped,10.7431
local memory address entropy -- 5 LSBs skipped,9.79811
local memory address entropy -- 6 LSBs skipped,8.90769
local memory address entropy -- 7 LSBs skipped,8.90769
local memory address entropy -- 8 LSBs skipped,8.90769
local memory address entropy -- 9 LSBs skipped,8.90769
local memory address entropy -- 10 LSBs skipped,8.90769
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218922
