metric,count
opcode,10
total instruction count,10264576
workitems,3584
operand sum,1.02646e+07
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,9.74224e-08
barriers per instruction,9.74224e-08
instructions per operand,1
total memory footprint,28808
90% memory footprint,22481
global memory address entropy,13.5842
local memory address entropy -- 1 LSBs skipped,13.5844
local memory address entropy -- 2 LSBs skipped,13.5844
local memory address entropy -- 3 LSBs skipped,12.6009
local memory address entropy -- 4 LSBs skipped,11.6289
local memory address entropy -- 5 LSBs skipped,10.6834
local memory address entropy -- 6 LSBs skipped,9.7932
local memory address entropy -- 7 LSBs skipped,9.7932
local memory address entropy -- 8 LSBs skipped,9.7932
local memory address entropy -- 9 LSBs skipped,9.7932
local memory address entropy -- 10 LSBs skipped,9.7932
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.21894
