metric,count
opcode,10
total instruction count,14755328
workitems,5152
operand sum,1.47553e+07
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,6.77721e-08
barriers per instruction,6.77721e-08
instructions per operand,1
total memory footprint,41352
90% memory footprint,32257
global memory address entropy,13.9729
local memory address entropy -- 1 LSBs skipped,13.9735
local memory address entropy -- 2 LSBs skipped,13.9735
local memory address entropy -- 3 LSBs skipped,12.9883
local memory address entropy -- 4 LSBs skipped,12.0174
local memory address entropy -- 5 LSBs skipped,11.0721
local memory address entropy -- 6 LSBs skipped,10.1817
local memory address entropy -- 7 LSBs skipped,10.1817
local memory address entropy -- 8 LSBs skipped,10.1817
local memory address entropy -- 9 LSBs skipped,10.1817
local memory address entropy -- 10 LSBs skipped,10.1817
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218944
