metric,count
opcode,8
total instruction count,401065216
workitems,1149184
operand sum,4.01065e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.49336e-09
barriers per instruction,2.49336e-09
instructions per operand,1
total memory footprint,600320
90% memory footprint,24228
global memory address entropy,14.8884
local memory address entropy -- 1 LSBs skipped,15.052
local memory address entropy -- 2 LSBs skipped,15.052
local memory address entropy -- 3 LSBs skipped,14.2085
local memory address entropy -- 4 LSBs skipped,13.1465
local memory address entropy -- 5 LSBs skipped,12.1493
local memory address entropy -- 6 LSBs skipped,11.1569
local memory address entropy -- 7 LSBs skipped,10.6276
local memory address entropy -- 8 LSBs skipped,10.084
local memory address entropy -- 9 LSBs skipped,9.57954
local memory address entropy -- 10 LSBs skipped,9.07327
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
