metric,count
opcode,10
total instruction count,16679936
workitems,5824
operand sum,1.66799e+07
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,5.99523e-08
barriers per instruction,5.99523e-08
instructions per operand,1
total memory footprint,46728
90% memory footprint,36446
global memory address entropy,14.1036
local memory address entropy -- 1 LSBs skipped,14.1047
local memory address entropy -- 2 LSBs skipped,14.1047
local memory address entropy -- 3 LSBs skipped,13.122
local memory address entropy -- 4 LSBs skipped,12.1495
local memory address entropy -- 5 LSBs skipped,11.2034
local memory address entropy -- 6 LSBs skipped,10.3135
local memory address entropy -- 7 LSBs skipped,10.3135
local memory address entropy -- 8 LSBs skipped,10.3135
local memory address entropy -- 9 LSBs skipped,10.3135
local memory address entropy -- 10 LSBs skipped,10.3135
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218946
