metric,count
opcode,8
total instruction count,804096
workitems,2304
operand sum,804096
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.24363e-06
barriers per instruction,1.24363e-06
instructions per operand,1
total memory footprint,2304
90% memory footprint,1085
global memory address entropy,10.4122
local memory address entropy -- 1 LSBs skipped,10.4127
local memory address entropy -- 2 LSBs skipped,10.4127
local memory address entropy -- 3 LSBs skipped,9.41273
local memory address entropy -- 4 LSBs skipped,8.41271
local memory address entropy -- 5 LSBs skipped,7.41272
local memory address entropy -- 6 LSBs skipped,6.41272
local memory address entropy -- 7 LSBs skipped,5.94101
local memory address entropy -- 8 LSBs skipped,5.30719
local memory address entropy -- 9 LSBs skipped,5.30719
local memory address entropy -- 10 LSBs skipped,5.30719
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
