metric,count
opcode,10
total instruction count,3940864
workitems,1376
operand sum,3.94086e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.53751e-07
barriers per instruction,2.53751e-07
instructions per operand,1
total memory footprint,11144
90% memory footprint,8715
global memory address entropy,12.5593
local memory address entropy -- 1 LSBs skipped,12.5592
local memory address entropy -- 2 LSBs skipped,12.5592
local memory address entropy -- 3 LSBs skipped,11.5748
local memory address entropy -- 4 LSBs skipped,10.6032
local memory address entropy -- 5 LSBs skipped,9.65816
local memory address entropy -- 6 LSBs skipped,8.7677
local memory address entropy -- 7 LSBs skipped,8.7677
local memory address entropy -- 8 LSBs skipped,8.7677
local memory address entropy -- 9 LSBs skipped,8.7677
local memory address entropy -- 10 LSBs skipped,8.7677
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218917
