metric,count
opcode,8
total instruction count,17511424
workitems,50176
operand sum,1.75114e+07
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,5.71056e-08
barriers per instruction,5.71056e-08
instructions per operand,1
total memory footprint,30464
90% memory footprint,5063
global memory address entropy,12.7657
local memory address entropy -- 1 LSBs skipped,12.7658
local memory address entropy -- 2 LSBs skipped,12.7658
local memory address entropy -- 3 LSBs skipped,11.7653
local memory address entropy -- 4 LSBs skipped,10.7655
local memory address entropy -- 5 LSBs skipped,9.76615
local memory address entropy -- 6 LSBs skipped,8.76594
local memory address entropy -- 7 LSBs skipped,8.23643
local memory address entropy -- 8 LSBs skipped,7.75211
local memory address entropy -- 9 LSBs skipped,7.29837
local memory address entropy -- 10 LSBs skipped,6.92268
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
