metric,count
opcode,8
total instruction count,2233600
workitems,6400
operand sum,2.2336e+06
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,4.47708e-07
barriers per instruction,4.47708e-07
instructions per operand,1
total memory footprint,8960
90% memory footprint,2448
global memory address entropy,11.7208
local memory address entropy -- 1 LSBs skipped,11.7223
local memory address entropy -- 2 LSBs skipped,11.7223
local memory address entropy -- 3 LSBs skipped,10.7222
local memory address entropy -- 4 LSBs skipped,9.72258
local memory address entropy -- 5 LSBs skipped,8.99074
local memory address entropy -- 6 LSBs skipped,8.14396
local memory address entropy -- 7 LSBs skipped,7.46884
local memory address entropy -- 8 LSBs skipped,6.94388
local memory address entropy -- 9 LSBs skipped,6.59029
local memory address entropy -- 10 LSBs skipped,6.12277
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117646
