metric,count
opcode,8
total instruction count,450383104
workitems,1290496
operand sum,4.50383e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.22033e-09
barriers per instruction,2.22033e-09
instructions per operand,1
total memory footprint,1326848
90% memory footprint,34762
global memory address entropy,15.5755
local memory address entropy -- 1 LSBs skipped,13.7809
local memory address entropy -- 2 LSBs skipped,13.7809
local memory address entropy -- 3 LSBs skipped,13.7809
local memory address entropy -- 4 LSBs skipped,13.7809
local memory address entropy -- 5 LSBs skipped,12.9584
local memory address entropy -- 6 LSBs skipped,12.2355
local memory address entropy -- 7 LSBs skipped,11.2599
local memory address entropy -- 8 LSBs skipped,10.7256
local memory address entropy -- 9 LSBs skipped,10.2049
local memory address entropy -- 10 LSBs skipped,9.69845
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
