metric,count
opcode,10
total instruction count,6690304
workitems,2336
operand sum,6.6903e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.4947e-07
barriers per instruction,1.4947e-07
instructions per operand,1
total memory footprint,37632
90% memory footprint,30637
global memory address entropy,14.1543
local memory address entropy -- 1 LSBs skipped,12.222
local memory address entropy -- 2 LSBs skipped,12.222
local memory address entropy -- 3 LSBs skipped,12.222
local memory address entropy -- 4 LSBs skipped,12.222
local memory address entropy -- 5 LSBs skipped,11.4034
local memory address entropy -- 6 LSBs skipped,10.7832
local memory address entropy -- 7 LSBs skipped,9.79785
local memory address entropy -- 8 LSBs skipped,9.42202
local memory address entropy -- 9 LSBs skipped,9.0394
local memory address entropy -- 10 LSBs skipped,8.64878
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218929
