metric,count
opcode,8
total instruction count,85859584
workitems,246016
operand sum,8.58596e+07
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.16469e-08
barriers per instruction,1.16469e-08
instructions per operand,1
total memory footprint,261888
90% memory footprint,15178
global memory address entropy,14.6223
local memory address entropy -- 1 LSBs skipped,12.5462
local memory address entropy -- 2 LSBs skipped,12.5462
local memory address entropy -- 3 LSBs skipped,12.5462
local memory address entropy -- 4 LSBs skipped,12.5462
local memory address entropy -- 5 LSBs skipped,11.7026
local memory address entropy -- 6 LSBs skipped,10.9633
local memory address entropy -- 7 LSBs skipped,10.0009
local memory address entropy -- 8 LSBs skipped,9.47901
local memory address entropy -- 9 LSBs skipped,8.97248
local memory address entropy -- 10 LSBs skipped,8.50083
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
