metric,count
opcode,10
total instruction count,3665920
workitems,1280
operand sum,3.66592e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.72783e-07
barriers per instruction,2.72783e-07
instructions per operand,1
total memory footprint,20736
90% memory footprint,16904
global memory address entropy,13.5126
local memory address entropy -- 1 LSBs skipped,11.5733
local memory address entropy -- 2 LSBs skipped,11.5733
local memory address entropy -- 3 LSBs skipped,11.5733
local memory address entropy -- 4 LSBs skipped,11.5733
local memory address entropy -- 5 LSBs skipped,10.7538
local memory address entropy -- 6 LSBs skipped,10.1282
local memory address entropy -- 7 LSBs skipped,9.74449
local memory address entropy -- 8 LSBs skipped,9.05489
local memory address entropy -- 9 LSBs skipped,8.5141
local memory address entropy -- 10 LSBs skipped,8.05006
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218909
