metric,count
opcode,8
total instruction count,214514944
workitems,614656
operand sum,2.14515e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,4.66168e-09
barriers per instruction,4.66168e-09
instructions per operand,1
total memory footprint,639744
90% memory footprint,23991
global memory address entropy,15.0071
local memory address entropy -- 1 LSBs skipped,13.2723
local memory address entropy -- 2 LSBs skipped,13.2723
local memory address entropy -- 3 LSBs skipped,13.2723
local memory address entropy -- 4 LSBs skipped,13.2723
local memory address entropy -- 5 LSBs skipped,12.3919
local memory address entropy -- 6 LSBs skipped,11.6609
local memory address entropy -- 7 LSBs skipped,10.6941
local memory address entropy -- 8 LSBs skipped,10.1658
local memory address entropy -- 9 LSBs skipped,9.65041
local memory address entropy -- 10 LSBs skipped,9.15394
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
