metric,count
opcode,10
total instruction count,458240
workitems,160
operand sum,458240
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.18226e-06
barriers per instruction,2.18226e-06
instructions per operand,1
total memory footprint,2816
90% memory footprint,2337
global memory address entropy,11.2737
local memory address entropy -- 1 LSBs skipped,9.32871
local memory address entropy -- 2 LSBs skipped,9.32871
local memory address entropy -- 3 LSBs skipped,9.32871
local memory address entropy -- 4 LSBs skipped,9.32871
local memory address entropy -- 5 LSBs skipped,8.50618
local memory address entropy -- 6 LSBs skipped,7.85523
local memory address entropy -- 7 LSBs skipped,6.88574
local memory address entropy -- 8 LSBs skipped,6.49103
local memory address entropy -- 9 LSBs skipped,6.17576
local memory address entropy -- 10 LSBs skipped,6.02038
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218587
