metric,count
opcode,10
total instruction count,7606784
workitems,2656
operand sum,7.60678e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.31462e-07
barriers per instruction,1.31462e-07
instructions per operand,1
total memory footprint,42752
90% memory footprint,34799
global memory address entropy,14.3002
local memory address entropy -- 1 LSBs skipped,12.3606
local memory address entropy -- 2 LSBs skipped,12.3606
local memory address entropy -- 3 LSBs skipped,12.3606
local memory address entropy -- 4 LSBs skipped,12.3606
local memory address entropy -- 5 LSBs skipped,11.5414
local memory address entropy -- 6 LSBs skipped,10.9226
local memory address entropy -- 7 LSBs skipped,9.93728
local memory address entropy -- 8 LSBs skipped,9.56215
local memory address entropy -- 9 LSBs skipped,9.17718
local memory address entropy -- 10 LSBs skipped,8.73505
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218932
