metric,count
opcode,10
total instruction count,3849216
workitems,1344
operand sum,3.84922e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.59793e-07
barriers per instruction,2.59793e-07
instructions per operand,1
total memory footprint,21760
90% memory footprint,17736
global memory address entropy,13.5664
local memory address entropy -- 1 LSBs skipped,11.6262
local memory address entropy -- 2 LSBs skipped,11.6262
local memory address entropy -- 3 LSBs skipped,11.6262
local memory address entropy -- 4 LSBs skipped,11.6262
local memory address entropy -- 5 LSBs skipped,10.8066
local memory address entropy -- 6 LSBs skipped,10.1814
local memory address entropy -- 7 LSBs skipped,9.79838
local memory address entropy -- 8 LSBs skipped,9.10954
local memory address entropy -- 9 LSBs skipped,8.56921
local memory address entropy -- 10 LSBs skipped,8.10211
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218911
