metric,count
opcode,8
total instruction count,260527104
workitems,746496
operand sum,2.60527e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,3.83837e-09
barriers per instruction,3.83837e-09
instructions per operand,1
total memory footprint,774144
90% memory footprint,26439
global memory address entropy,15.3967
local memory address entropy -- 1 LSBs skipped,13.3874
local memory address entropy -- 2 LSBs skipped,13.3874
local memory address entropy -- 3 LSBs skipped,13.3874
local memory address entropy -- 4 LSBs skipped,13.3874
local memory address entropy -- 5 LSBs skipped,12.562
local memory address entropy -- 6 LSBs skipped,11.8128
local memory address entropy -- 7 LSBs skipped,11.2744
local memory address entropy -- 8 LSBs skipped,10.5284
local memory address entropy -- 9 LSBs skipped,9.90139
local memory address entropy -- 10 LSBs skipped,9.34713
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
